"Registry Form Fields","Registry Form Fields"
"Add New Registry Form Field","Add New Registry Form Field"
Save,Save
"Save & Continue Edit","Save & Continue Edit"
"Edit Registry Form Field '%1'","Edit Registry Form Field '%1'"
"Create New Registry Form Field","Create New Registry Form Field"
"General Information","General Information"
Title,Title
"[STORE VIEW]","[STORE VIEW]"
Code,Code
"Internal field. Can contain only letters, digits and underscore. Should be unique.","Internal field. Can contain only letters, digits and underscore. Should be unique."
Type,Type
"Options list","Options list"
"Enter each value from the new line using format: <br>value1 | label1<br>value2 | label2","Enter each value from the new line using format: <br>value1 | label1<br>value2 | label2"
Description,Description
Active,Active
No,No
Yes,Yes
"Sort Order","Sort Order"
ID,ID
"Field Type","Field Type"
Disabled,Disabled
Enabled,Enabled
"Change status","Change status"
Status,Status
Delete,Delete
"Are you sure?","Are you sure?"
Items,Items
"Product Name","Product Name"
QTY,QTY
"Ordered QTY","Ordered QTY"
"Received QTY","Received QTY"
Priority,Priority
Note,Note
"Add Product","Add Product"
Product,Product
"Select Product","Select Product"
Registries,Registries
"Event Types","Event Types"
"Item Priorities","Item Priorities"
"Registry Form Sections","Registry Form Sections"
Settings,Settings
Prioritys,Prioritys
"Add New Priority","Add New Priority"
"Edit Priority '%1'","Edit Priority '%1'"
"Create New Priority","Create New Priority"
"Edit Registry '%1'","Edit Registry '%1'"
"Create New Registry","Create New Registry"
Public,Public
Website,Website
Image,Image
Event,Event
Date,Date
Location,Location
Registrant,Registrant
Customer,Customer
"First Name","First Name"
"Middle Name","Middle Name"
"Last Name","Last Name"
Email,Email
Co-Registrant,Co-Registrant
Shipping,Shipping
"Shipping Address","Shipping Address"
General,General
"Order #","Order #"
Total,Total
"Purchased On","Purchased On"
"Bill to Name","Bill to Name"
"Ship to Name","Ship to Name"
"Order Status","Order Status"
"Order Total","Order Total"
Action,Action
View,View
Orders,Orders
"Item Id","Item Id"
Name,Name
SKU,SKU
Products,Products
"Registrant Name","Registrant Name"
"Number Of Orders","Number Of Orders"
"Created At","Created At"
Archived,Archived
Visible,Visible
Link,Link
"Guest View","Guest View"
"Gift Registry <strong>""%1""</strong>","Gift Registry <strong>""%1""</strong>"
"Add New Registry Form Section","Add New Registry Form Section"
"Edit Registry Form Section '%1'","Edit Registry Form Section '%1'"
"Create New Registry Form Section","Create New Registry Form Section"
"Section Fields","Section Fields"
"Add New Event Type","Add New Event Type"
"Edit Event Type '%1'","Edit Event Type '%1'"
"Create New Event Type","Create New Event Type"
"Type information","Type information"
"Form Sections","Form Sections"
"Helper for gift registry options rendering doesn't implement required interface.","Helper for gift registry options rendering doesn't implement required interface."
"Add Co-Registrant","Add Co-Registrant"
